Date, Open, High, Low, Close, Volume
02/13/20, 48.45, 49.39, 47.00, 47.03, 15660170
02/12/20, 51.25, 51.30, 48.42, 48.46, 36622809
02/11/20, 54.49, 54.50, 52.92, 53.94, 20414420
02/10/20, 50.82, 53.92, 50.33, 53.72, 15370420
02/07/20, 49.10, 50.04, 47.58, 49.92, 12516250
02/06/20, 48.45, 48.67, 46.83, 47.42, 7127528
02/05/20, 50.40, 50.47, 47.70, 48.06, 6061882
02/04/20, 48.50, 50.96, 48.11, 50.00, 8123562
02/03/20, 47.63, 48.59, 47.32, 47.96, 2661724
01/31/20, 47.41, 47.67, 46.48, 47.48, 4001773
01/30/20, 46.65, 47.89, 46.50, 47.79, 3100567
01/29/20, 47.97, 48.64, 46.36, 46.84, 7493970
01/28/20, 47.77, 48.35, 47.46, 48.21, 2876597
01/27/20, 46.83, 47.65, 46.13, 47.36, 3803025
01/24/20, 48.67, 49.54, 47.62, 48.43, 5475051
01/23/20, 47.48, 48.92, 47.10, 48.48, 4143052
01/22/20, 48.19, 48.95, 47.32, 47.47, 4134736
01/21/20, 46.50, 48.77, 46.36, 47.98, 6253070
01/17/20, 47.00, 47.00, 46.02, 46.52, 3498653
01/16/20, 47.55, 47.55, 46.11, 46.83, 3357505
01/15/20, 47.64, 48.06, 46.84, 47.08, 3179866
01/14/20, 46.36, 48.00, 46.26, 47.68, 4943609
01/13/20, 46.31, 46.45, 45.13, 46.35, 3802127
01/10/20, 45.59, 46.24, 45.36, 46.06, 4513802
01/09/20, 45.16, 45.96, 44.52, 45.59, 4652046
01/08/20, 44.14, 45.74, 43.87, 45.08, 5648212
01/07/20, 43.18, 44.70, 43.03, 44.25, 4812470
01/06/20, 42.79, 43.81, 42.38, 43.10, 4975539
01/03/20, 42.85, 43.36, 42.2328, 43.19, 4408882
01/02/20, 43.22, 44.07, 43.1654, 43.58, 3913733
12/31/19, 43.00, 43.605, 42.7755, 43.02, 5500860
12/30/19, 45.60, 45.6739, 43.05, 43.50, 8658536
12/27/19, 45.90, 46.20, 45.17, 45.84, 4455302
12/26/19, 45.70, 45.81, 45.01, 45.73, 5182888
12/24/19, 45.62, 46.20, 45.61, 45.70, 2512008
12/23/19, 47.91, 48.00, 45.26, 45.54, 10840280
12/20/19, 46.25, 48.54, 46.22, 47.92, 16997680
12/19/19, 46.79, 47.00, 46.02, 46.28, 4484530
12/18/19, 47.27, 47.64, 46.85, 47.01, 3581020
12/17/19, 48.24, 48.25, 47.22, 47.50, 4078288
12/16/19, 47.06, 49.3075, 46.98, 47.93, 9099903
12/13/19, 46.74, 47.67, 46.60, 46.75, 3011492
12/12/19, 47.23, 47.44, 46.47, 46.60, 4695753
12/11/19, 45.37, 47.5505, 45.28, 47.36, 3803308
12/10/19, 45.69, 45.69, 45.07, 45.26, 2890324
12/09/19, 45.20, 46.09, 44.88, 45.42, 2777992
12/06/19, 45.00, 45.45, 44.17, 45.20, 5046558
12/05/19, 47.09, 47.18, 44.05, 45.065, 13036910
12/04/19, 47.81, 48.0819, 46.94, 47.315, 3145351
12/03/19, 46.55, 47.56, 46.08, 47.51, 2871251
12/02/19, 49.08, 49.11, 47.17, 47.39, 4386549
11/29/19, 49.00, 49.69, 48.65, 48.98, 1702325
11/27/19, 49.29, 49.75, 48.80, 49.37, 3046670
11/26/19, 48.49, 49.785, 48.17, 49.00, 6779986
11/25/19, 46.50, 49.33, 46.47, 48.94, 9661657
11/22/19, 46.70, 47.20, 46.23, 46.46, 6356480
11/21/19, 44.24, 46.83, 44.10, 46.76, 10860230
11/20/19, 44.00, 44.54, 42.77, 43.95, 7978126
11/19/19, 45.00, 45.00, 43.81, 44.15, 3752021
11/18/19, 43.29, 45.36, 42.80, 44.86, 9073779
